FACILITY_ID,EXISTING_FACILITY,RECOMMEND_FACILITY,ACTION,PHASE,YEAR_BUILT,PROPOSED,ROUTE_NAME,SURFACE,MILEAGE,FACILITY_WIDTH,MAINTENANCE,FULLNAME,FROMNAME,TONAME,VOLCLASS,TRAVLANES,LANEWIDTH,SPEEDLIMIT,ONEWAY,HUNDBLKNAME,COMMENTS
,BL,BufBL,,1,2011,Yes,,Paved,0.05956504,,Public Works,W 46TH AVE,N ZENOBIA ST,N SHERIDAN BLVD/COLI,COLLECTOR,2,10,30,0, 5100 BLK OF W 46TH AVE,D16I17
,BL,BL,,3,2017,No,,Paved,,,Public Works,W 50TH AVE,N ELIOT ST,N FEDERAL BLVD/W REGIS BLVD,COLLECTOR,2,10,30,0, 2900 BLK OF W 50TH AVE,D16I17
,BL,BL,,3,2017,No,,Paved,,,Public Works,W 50TH AVE,N ALCOTT ST,N BEACH CT,COLLECTOR,2,10,30,0, 2500 BLK OF W 50TH AVE,D16I17
,BL,BL,,3,2017,No,,Paved,,,Public Works,W 50TH AVE,N BEACH CT,N BRYANT ST,COLLECTOR,2,10,30,0, 2550 BLK OF W 50TH AVE,D16I17
,BL,BL,,3,2017,No,,Paved,,,Public Works,W 50TH AVE,N ELM CT,N ELIOT ST,COLLECTOR,2,10,30,0, 2850 BLK OF W 50TH AVE,D16I17
,SRd,BBlvd,C,1,,Yes,,Paved,0.10826928,,Public Works,N GARFIELD ST,E 2ND AVE,E 3RD AVE,LOCAL,2,10,25,0,  200 BLK OF N GARFIELD ST,I18
,BL,BL,,3,2017,No,,Paved,,,Public Works,W 50TH AVE,N BRYANT ST,N CLAY ST,COLLECTOR,2,10,30,0, 2600 BLK OF W 50TH AVE,D16I17
,SRd,BBlvd,C,1,,Yes,,Paved,0.01394539,,Public Works,N GARFIELD ST,E 7TH AVENUE PKWY,E 7TH AVENUE PKWY,LOCAL,2,10,25,0,  700 BLK OF N GARFIELD ST,I18
,SRd,SRd,WSw,1,,Yes,,,,,,E 20TH AVE,N LINCOLN ST,GLENARM PL/20TH ST,ARTERIAL,1,10,25,2,  100 BLK OF E 20TH AVE,
,SH,,,1,2014,No,,Paved,0.06149534,,Public Works,N KNOX CT,RRX,W 13TH AVE,COLLECTOR,2,10,25,0, 1250 BLK OF N KNOX CT,
,SH,,,1,2014,No,,Paved,0.13117276,,Public Works,N KNOX CT,W 13TH AVE,W 14TH AVE/TRAFFIC SIGNAL,COLLECTOR,2,10,25,0, 1300 BLK OF N KNOX CT,
,BL,BufBL,,1,2011,Yes,,Paved,0.06094779,,Public Works,W 46TH AVE,N VRAIN ST,N WINONA CT,COLLECTOR,2,10,30,0, 4600 BLK OF W 46TH AVE,D16I17
,SRd,BBlvd,C,1,,Yes,,Paved,0.12561753,,Public Works,N GARFIELD ST,E 16TH AVE,E 17TH AVE,LOCAL,2,10,25,0, 1600 BLK OF N GARFIELD ST,I18
,BL,BL,,3,2017,No,,Paved,,,Public Works,W 50TH AVE,N ZUNI ST,N ALCOTT ST,COLLECTOR,2,10,30,0, 2400 BLK OF W 50TH AVE,D16I17
,BL,,,Existing,2012,No,,Paved,0.26343541,,Public Works,E 20TH AVE,N DOWNING ST/TRAFFIC SIGNAL,N FRANKLIN ST,LOCAL,2,10,25,0, 1200 BLK OF E 20TH AVE,
,BL,,,Existing,2012,No,,Paved,0.20280546,,Public Works,W HAMPDEN AVE SERVICE S,PRIVATE RD/S DEPEW ST,PRIVATE RD,COLLECTOR,2,10,25,0, 5700 BLK OF W HAMPDEN AVE SERVICE S,
,BL,,,Existing,2012,No,,Paved,0.22062768,,Public Works,W HAMPDEN AVE SERVICE S,S HARLAN ST,S KENDALL ST,COLLECTOR,2,10,25,0, 6000 BLK OF W HAMPDEN AVE SERVICE S,
,BL,,,Existing,2012,No,,Paved,0.04373688,,Public Works,W HAMPDEN AVE SERVICE S,S KENDALL ST,COLI,COLLECTOR,2,10,25,0, 6300 BLK OF W HAMPDEN AVE SERVICE S,
,BL,,,,2011,,,Paved,0.05819222,,Public Works,E EXPOSITION AVE,S GARFIELD ST,E GILL DR/S JACKSON ST,COLLECTOR,2,11,25,0, 3750 BLK OF E EXPOSITION AVE,
,SH,BL,RP1,2,,,,,0.06581717000000001,,,E MARTIN LUTHER KING BLVD,N VINE ST,N GAYLORD ST,ARTERIAL,2,10,30,2, 2100 BLK OF E MLK BLVD,I17
,SH,BL,RP1,2,,,,,0.06557786,,,E MARTIN LUTHER KING BLVD,N RACE ST,N VINE ST,ARTERIAL,2,10,30,2, 2000 BLK OF E MLK BLVD,I17
,CT,CT,,,2015,No,,Paved,0.09121721,,Public Works,LAWRENCE ST,21ST ST,22ND ST,ARTERIAL,3,13,25,1, 2100 BLK OF LAWRENCE ST,D14I15
,BL,CT,,,,Yes,,Paved,,,Public Works,STOUT ST,20TH ST,N BROADWAY,ARTERIAL,3,10,25,1, 2000 BLK OF STOUT ST,I16
,SRd,,,,,,,,,,,N CLERMONT STREET PKWY,E 6TH AVENUE PKWY,N CLERMONT ST/E 6TH AVENUE PKWY,LOCAL,2,10,25,1,  600 BLK OF N CLERMONT ST,
,SH,,,1,2014,No,,Paved,0.05124982,,Public Works,N KNOX CT,STR,RRX,LOCAL,2,10,25,0, 1250 BLK OF N KNOX CT,
,SRd,BL,ASM,2,,,,,,,,N DAHLIA ST,RRX,E 48TH AVE,COLLECTOR,2,10,25,0,UNNAMED,
,BL,,,,,,,,0.0766979,,,E BUCHTEL BLVD,S MARION ST,S LAFAYETTE ST,COLLECTOR,2,11,35,1, 1200 BLK OF E BUCHTEL BLVD,
,SWBP,,,,,,,,,,,E BUCHTEL BLVD,S WILLIAMS ST,S HIGH ST,COLLECTOR,2,11,35,1,1600 BLK OF E BUCHTEL BLVD,
,SRd,SH,ASM,1,,,,,,,,DENVER PARK RD,S MARION STREET PKWY/E VIRGINIA AVE,DENVER PARK RD,LOCAL,2,10,25,1,WASHINGTON PARK ROADWAY,
,BL,,,,,,,,0.0717778,,,E BUCHTEL BLVD,S DOWNING ST,S MARION ST,COLLECTOR,2,11,35,1, 1200 BLK OF E BUCHTEL BLVD,
,BL,,,,,,,,0.06363608,,,N SYRACUSE ST,E 29TH PL,E 29TH DR,COLLECTOR,2,10,25,0, 2900 BLK OF N SYRACUSE ST,
,SRd,,,,,,,,,,,E FAIRMOUNT DR,PRIVATE RD/FAIRMOUNT CEMETERY RD,CONNECTING RD,COLLECTOR,2,10,30,0, 8400 BLK OF E FAIRMOUNT DR,
,BL,,,,2008,,,Paved,0.04814321,,Public Works,E 35TH AVE,N QUEBEC ST,N QUEBEC ST,COLLECTOR,4,11,25,0, 7250 BLK OF E 35TH AVE,
,SRd,SWBP,WSw,2,,,,,0.035315650000000004,,,N HAVANA ST,RAMP,RAMP,ARTERIAL,2,10,40,1, 4300 BLK OF N HAVANA ST,
,SRd,,,,,,,,,,,E LOWRY BLVD,TRAF CIR/N YOSEMITE ST,TRAF CIR/N YOSEMITE ST,ARTERIAL,2,30,25,1,  550 BLK OF N YOSEMITE WAY TRF CIR,
,SRd,CT,C,1,,,,,,,,DENVER ZOO RD,DENVER ZOO RD,CITY PARK ESPLANADE,LOCAL,2,0,25,1,CITY PARK ROADWAY,
,SRd,PPBL,ASM,2,,,,,,,,E FLORIDA AVE,PRIVATE RD,PRIVATE RD,COLLECTOR,2,10,25,0, 3200 BLK OF E FLORIDA AVE,
,SRd,S,S,3,,,,,,,,PARK AVE W,RAMP/STR,RAMP/STR,ARTERIAL,4,0,35,2, 3500 BLK OF PARK AVE W,
,SRd,,,,,,,,,,,N ARGONNE ST,E 40TH PL,E 41ST PL,COLLECTOR,2,10,25,0,4000 BLK OF N ARGONNE ST,
,BL,,,,,,,,0.051125330000000004,,,E 29TH AVE,N XENIA ST,N YOSEMITE ST,COLLECTOR,2,0,25,2, 8800 BLK OF E 29TH AVE_WB,
,SWBP,S,S,1,,,,,,,,N SHERIDAN BLVD,RAMP/COLI,INTERSTATE 70/STR,ARTERIAL,4,0,35,0, 4700 BLK OF N SHERIDAN BLVD,
,SRd,S,S,3,,,,,,,,PARK AVE W,RAMP/STR,RAMP/STR,ARTERIAL,4,0,35,2, 3700 BLK OF PARK AVE W,
,BL,,,,,,,,0.07752008,,,E 29TH AVE,E 29TH PL,N SPRUCE ST,COLLECTOR,2,0,25,2, 7700 BLK OF E 29TH AVE,
,SRd,,,,,,,,,,,S QUEBEC ST,S QUEBEC WAY/COLI,E MISSISSIPPI AVE,ARTERIAL,2,0,35,2, 1100 BLK OF S QUEBEC ST,
,SRd,S,S,3,,,,,,,,RAMP,N FOX ST,RAMP,LOCAL,1,0,25,1, 3700 BLK OF PARK AVE W,
,SRd,,,,,,,,,,,S ONEIDA ST,E EASTMOOR DR,E PRINCETON AVE/S MONACO STREET PKWY,LOCAL,2,10,25,0, 4100 BLK OF S ONEIDA ST,
,SRd,BL,RP2,3,,,,,,,,S LOWELL BLVD,W FLOYD AVE/COLI/THE VILLIAGE APT AT LORETTO HEIGHTS,W GIRARD AVE/S KNOX CT/COLI/NMCHG,COLLECTOR,2,10,25,0, 3400 BLK OF S LOWELL BLVD,
,BL,,,,,,,,0.01110565,,,E VIRGINIA AVE,S MARION STREET PKWY/DENVER PARK RD,S MARION STREET PKWY/DENVER PARK RD,COLLECTOR,2,10,25,0, 1300 BLK OF E VIRGINIA AVE,
,SRd,BBlvd,C,1,,,,,,,,N KRAMERIA ST,E 6TH AVENUE PKWY,E SEVERN PL,LOCAL,2,10,25,0,  600 BLK OF N KRAMERIA ST,
,SRd,BBlvd,C,3,,,,,,,,S FRANKLIN ST,COLI/E BATES PKWY,COLI/E BATES AVE,COLLECTOR,2,10,25,0, 2800 BLK OF S FRANKLIN ST,
,BL,,,,,,,,0.01515148,,,N CENTRAL PARK BLVD,E 29TH AVE,E 29TH AVE,ARTERIAL,2,10,25,2, 2900 BLK OF N CENTRAL PARK BLVD,
,SRd,,,,,,,,,,,N DOWNING ST,N DOWNING STREET PKWY,E 3RD AVE,LOCAL,1,10,30,1,  100 BLK OF N DOWNING STREET PKWY,
,SRd,SH,ASM,1,,,,,,,,N HIGH ST,E 11TH AVE,E 12TH AVE,LOCAL,2,10,25,0,CHEESMAN PARK ROADWAY,
,BL,BL,,1,2015,No,,Paved,2.2,,Public Works,S RALEIGH ST,W HAMPDEN AVE/STR,W HAMPDEN AVE/STR,LOCAL,2,10,25,0, 3300 BLK OF S RALEIGH ST,
,SRd,CT,C,1,,,,,,,,DENVER ZOO RD,CITY PARK RD,DENVER ZOO RD,LOCAL,2,10,25,0,CITY PARK ROADWAY,
,SWBP,,,,,,,,,,,N DOWNING STREET PKWY,S DOWNING STREET PKWY/E ELLSWORTH AVE,E 1ST AVE/E SPEER BLVD/STR,ARTERIAL,2,12,30,1,  000 BLK OF N DOWNING ST,
,SRd,,,,,,,,,,,S QUEBEC ST,PRIVATE RD,E KENTUCKY AVE,ARTERIAL,2,12,35,0,  950 BLK OF S QUEBEC ST,
,SRd,S,S,3,,,,,,,,PARK AVE W,INTERSTATE 25/STR,INTERSTATE 25 HOV/STR,ARTERIAL,2,10,35,1, 3700 BLK OF PARK AVE W,
,BL,,,,,,,,0.01755193,,,E 29TH AVE,N CENTRAL PARK BLVD,N CENTRAL PARK BLVD,COLLECTOR,2,12,25,1, 8400 BLK OF E 29TH AVE,
,SRd,,,,,,,,,,,E LOWRY BLVD,TRAF CIR/N RAMPART WAY,TRAF CIR/E FAIRMOUNT DR,ARTERIAL,2,10,25,1, 8000 BLK OF E FAIRMOUNT DR TRF CIR,
,SRd,S,S,3,,,,,,,,PARK AVE W,RAMP,RAMP/STR,ARTERIAL,2,10,35,1, 3700 BLK OF PARK AVE W,
,SRd,BufBL,RD,2,,Yes,,Paved,0.02869664,,Public Works,S QUEBEC ST,INTERSTATE 225/STR,RAMP/STR,ARTERIAL,2,10,35,1, 4400 BLK OF S QUEBEC ST,I16
,SRd,BufBL,RD,2,,Yes,,Paved,0.05533466,,Public Works,S QUEBEC ST,INTERSTATE 225/STR,INTERSTATE 225/STR,ARTERIAL,2,0,35,2, 4400 BLK OF S QUEBEC ST,I16
,SRd,,,,,,,,,,,N FLORENCE WAY,N HANOVER ST,N GENEVA CT,LOCAL,2,10,25,0,  3150 BLK OF N FLORENCE WAY,
,SRd,,,,,,,,,,,E FAIRMOUNT DR,CONNECTING RD,S VALENTIA ST,COLLECTOR,1,10,30,1, 8400 BLK OF E FAIRMOUNT DR,
,BL,,,,,,,Paved,0.04870807,,Public Works,N ARGONNE ST,N CATHAY CT,N CATHAY ST/N ARGONNE WAY,COLLECTOR,2,10,30,0, 4800 BLK OF N ARGONNE ST,
,BL,,,,,,,,0.01516496,,,N ULSTER ST,E 29TH AVE,E 29TH AVE,LOCAL,2,10,25,0, 2900 BLK OF N ULSTER ST,
,SRd,BL,ASM,2,,,,,,,,N BELO HORIZONTE PKWY,MEDIAN,N CLERMONT STREET PKWY/E 3RD AVE,LOCAL,2,0,25,2,  100 BLK OF N BELO HORIZONTE PKWY,
,SWBP,,,,,,,,,,,ROCKMONT DR,20TH ST/STR,RAMP/STR,COLLECTOR,2,10,30,0,UNNAMED,
,SRd,SWBP,WSw,2,,,,,0.03158735,,,N HAVANA ST,RAMP,INTERSTATE 70/RAMP/STR,ARTERIAL,2,10,40,1,UNNAMED,
,BL,,,,,,,,0.02119806,,,N SYRACUSE ST,N ROSLYN ST,E 24TH AVE,COLLECTOR,2,10,25,0, 2400 BLK OF N SYRACUSE ST,
,SWBP,,,,,,,,,,,20TH ST,RAMP/WEWATTA ST/UNPASS/STR,WEWATTA ST/STR,ARTERIAL,5,12,30,0, 1900 BLK OF 20TH ST,
,SRd,,,,,,,,,,,E FAIRMOUNT DR,CONNECTING RD,CONNECTING RD,COLLECTOR,1,10,30,0, 8400 BLK OF E FAIRMOUNT DR,
,SH,,,,,,,,0.00996799,,,N SPEER BLVD,RRUNPASS,WATER ST/STR,ARTERIAL,3,10,35,2,UNNAMED,
,SRd,S,S,3,,,,,,,,PARK AVE W,RAMP/STR,RAMP,ARTERIAL,2,10,35,1, 3700 BLK OF PARK AVE W,
,SRd,,,,,,,,,,,S YOSEMITE ST,STR,E CORNELL AVE,LOCAL,2,10,25,0, 2900 BLK OF S YOSEMITE ST,
,SWBP,,WSw,3,,,,,,,,GREEN VALLEY RANCH BLVD,PRIVATE RD,N AIRPORT WAY,ARTERIAL,2,12,40,0,UNNAMED,
,SWBP,,,,,,,,,,,20TH ST,ROCKMONT DR/STR,RAMP,ARTERIAL,1,0,30,1,UNNAMED,
,SRd,PShdr,PShdr,3,,,,,,,,N YOSEMITE ST,COLI/DRIVEWAY,E 16TH AVE/COLI,COLLECTOR,2,10,25,0, 1500 BLK OF N YOSEMITE ST,
,SWBP,,,,,,,,,,,PARK AVE W,WAZEE ST/STR,RRUNPASS,ARTERIAL,4,10,30,1, 1700 BLK OF PARK AVE W,
,BL,,,,,,,,0.014112930000000001,,,E 32ND AVE,N SYRACUSE ST/TRAF CIR,N SYRACUSE ST/TRAF CIR,LOCAL,4,10,25,2, 3200 BLK OF N SYRACUSE ST,
,SWBP,,,,,,,,,,,W ALAMEDA AVE,RROVPASS,RROVPASS,ARTERIAL,4,10,30,0,UNNAMED,
,SRd,BBlvd,C,1,,,,,,,,S IRVING ST,S HOOKER CIR/S JULIAN CIR,W EVANS AVE,COLLECTOR,2,10,25,2, 2000 BLK OF S IRVING ST,
,SRd,S,S,3,,,,,,,,PARK AVE W,INTERSTATE 25 HOV/STR,N FOX ST/INTERSTATE 25/STR,ARTERIAL,4,0,35,2, 3700 BLK OF PARK AVE W,
,SRd,,,,,,,,,,,PENA BLVD,E470 HWY/STR,E470 HWY/STR,ARTERIAL,3,0,65,2,20500 BLK OF PENA BLVD,
,SRd,BL,LD,1,,,,,,,,N GILPIN ST,CROSSOVER,CROSSOVER,LOCAL,2,0,25,2,  300 BLK OF N GILPIN ST,
,SH,,,3,2014,No,,Paved,0.02486718,,Public Works,S STEELE ST,PRIVATE RD,E FLORIDA AVE,COLLECTOR,2,10,25,0, 1400 BLK OF S STEELE ST,
,SRd,PShdr,PShdr,2,,,,,,,,S DAHLIA ST,S CHERRY WAY,E DARTMOUTH AVE,COLLECTOR,2,12,30,0, 3000 BLK OF S DAHLIA ST,
,SRd,S,S,3,,,,,,,,E MISSISSIPPI AVE,S BELLAIRE ST,S BIRCH ST,COLLECTOR,2,0,25,0, 4400 BLK OF E MISSISSIPPI AVE,
,SRd,BL,ASM,3,,,,,,,,E 44TH AVE,N DAVENPORT WAY,N DENMARK CT,COLLECTOR,2,10,30,0,14400 BLK OF E 44TH AVE,
,SRd,BL,LD,3,,,,,,,,E QUINCY AVE,PRIVATE RD,E EASTMOOR DR/S QUEBEC ST,ARTERIAL,2,0,25,2, 7100 BLK OF E QUINCY AVE,
,BL,,,3,2012,No,,Paved,0.04955165,,Public Works,S SYRACUSE WAY,S WABASH CIR/S XENIA ST,S YARNELL CT,ARTERIAL,2,10,35,0,UNNAMED,
,SRd,BL,LD,3,,,,,,,,E QUINCY AVE,PRIVATE RD,E EASTMOOR DR/S QUEBEC ST,ARTERIAL,2,10,35,1, 7100 BLK OF E QUINCY AVE,
,SRd,BL,LD,3,,,,,,,,S YOSEMITE ST,COLI/E RADCLIFF AVE,S XERIC WAY/COLI,ARTERIAL,4,11,35,0, 4500 BLK OF S YOSEMITE ST,
,BL,,,3,2012,No,,Paved,0.04503801,,Public Works,S SYRACUSE WAY,S XANTHIA CT,S XERIC CT,ARTERIAL,2,10,35,0, 2900 BLK OF S SYRACUSE WAY,
,SRd,SH,ASM,2,,,,,,,,N ZUNI ST,INTERSTATE 70/STR,W 48TH AVE,COLLECTOR,2,11,30,0, 4700 BLK OF N ZUNI ST,
,SRd,CL,RD,3,,,,,,,,TEIKYO LORETTO HEIGHTS UNIV AVE,TEIKYO LORETTO HEIGHTS UNIV AVE,S IRVING ST,LOCAL,2,0,25,0,3000 BLK OF W DARTMOUTH AVE,
,SRd,BL,LD,3,,,,,,,,S YOSEMITE ST,S XERIC WAY/COLI,S BROADMOOR RD/COLI,ARTERIAL,4,11,35,0, 4500 BLK OF S YOSEMITE ST,
,BL,,,3,2012,No,,Paved,0.04884753,,Public Works,S SYRACUSE WAY,S WILLOW ST,S XANTHIA ST,ARTERIAL,2,10,35,0,UNNAMED,
,BL,,,3,2012,No,,Paved,0.04769645,,Public Works,S SYRACUSE WAY,S VINCENNES WAY/COLI,S VERBENA WAY/COLI,ARTERIAL,2,10,35,0,UNNAMED,
,,,,,,No,,,,,,,,,,,,,,,
,,,,,,No,,,,,,,,,,,,,,,
,SRd,BL,LD,3,,,,,,,,S YOSEMITE ST,S BROADMOOR RD/COLI,PRIVATE RD/COLI,ARTERIAL,4,11,35,0, 4600 BLK OF S YOSEMITE ST,
,SRd,SUP,C,3,,,,,,,,E SMITH RD,N COLORADO BLVD/UNPASS/RRUNPASS/STR,N COLORADO BLVD/UNPASS/RRUNPASS/STR,ARTERIAL,2,10,30,0, 4000 BLK OF E SMITH RD,
,SRd,BL,LD,2,,,,,,,,N BANNOCK ST,CONNECTING RD,W 6TH AVE,COLLECTOR,2,0,30,0,  500 BLK OF N BANNOCK ST,
,SH,,,,,,,,0.014615999999999999,,,WATER ST,N SPEER BLVD/STR,PLATTE ST/N SPEER BLVD/STR,COLLECTOR,2,10,30,0,UNNAMED,
,SRd,BL,LD,3,,,,,,,,S YOSEMITE ST,INTERSTATE 225/STR,INTERSTATE 225/STR,ARTERIAL,4,10,35,0, 4200 BLK OF S YOSEMITE ST,
,SRd,BL,LD,3,,,,,,,,S YOSEMITE ST,CONNECTING RD/COLI,E BELLEVIEW AVE/COLI/NMCHG,ARTERIAL,4,11,35,0, 4900 BLK OF S YOSEMITE ST,
,SRd,BL,RP2,3,,,,,,,,S KNOX CT,S LOWELL BLVD/W GIRARD AVE/COLI/NMCHG,PRIVATE RD/COLI,COLLECTOR,2,10,25,0, 3425 BLK OF S KNOX CT,
,SRd,BL,RD,3,,,,,,,,E 47TH AVE,RRX,N LIMA ST,COLLECTOR,4,10,35,0,11100 BLK OF E 47TH AVE,
,BL,,,1,2013,No,,Paved,0.01154403,,Public Works,W 13TH AVE,INTERSTATE 25/STR,RAMP/INTERSTATE 25/STR,COLLECTOR,2,10,30,0,UNNAMED,CT
,SRd,BL,LD,3,,,,,,,,S LOWELL BLVD,COLI,W CHENANGO AVE/COLI/NMCHG,COLLECTOR,2,10,25,0, 4900 BLK OF S LOWELL BLVD,
,BL,,,1,2014,No,,Paved,0.03465633,,Public Works,N KNOX CT,W 6TH AVENUE FWY/STR,W 6TH AVE,COLLECTOR,2,10,30,0,  600 BLK OF N KNOX CT,
,SRd,BL,LD,3,,,,,,,,S LOWELL BLVD,W TANFORAN DR,W LAYTON AVE,COLLECTOR,2,10,25,0, 4700 BLK OF S LOWELL BLVD,
,BL,BL,ASM,2,2016,No,,Paved,,,Public Works,N TEJON ST,W IRVINGTON PL,RRX,COLLECTOR,2,10,25,0, 100 BLK OF N TEJON ST,I16
,SH,SH,,3,2014,No,,Paved,0.00554361,,Public Works,N PERRY ST,W 6TH AVENUE FWY/STR,W 6TH AVE,COLLECTOR,2,10,30,0,  600 BLK OF N PERRY ST,
,BL,BL,ASM,2,2016,No,,Paved,,,Public Works,N TEJON ST,RRX,N UMATILLA ST/W 2ND AVE,COLLECTOR,2,10,25,0, 100 BLK OF N TEJON ST,I16
,SH,,,2,2012,No,,Paved,0.08371234,,Public Works,W 17TH AVE,N JULIAN ST,N KING ST,COLLECTOR,2,12,30,0, 3400 BLK OF W 17TH AVE,
,SH,,,2,2012,No,,Paved,0.061838290000000004,,Public Works,W 17TH AVE,N LOWELL BLVD,N MEADE ST,COLLECTOR,2,12,30,0, 3600 BLK OF W 17TH AVE,
,SH,,,2,2012,No,,Paved,0.08371202,,Public Works,W 17TH AVE,N GROVE ST,N HOOKER ST,COLLECTOR,2,12,30,0, 3100 BLK OF W 17TH AVE,
,SH,,,2,2012,No,,Paved,0.08371208000000001,,Public Works,W 17TH AVE,N HOOKER ST,N IRVING ST,COLLECTOR,2,12,30,0, 3200 BLK OF W 17TH AVE,
,SH,,,2,2012,No,,Paved,0.08177097,,Public Works,W 17TH AVE,N KING ST,N LOWELL BLVD,COLLECTOR,2,12,30,0, 3500 BLK OF W 17TH AVE,
,SH,,,2,2012,No,,Paved,0.0820704,,Public Works,W 17TH AVE,N IRVING ST,N JULIAN ST,COLLECTOR,2,12,30,0, 3300 BLK OF W 17TH AVE,
,SH,,,2,2012,No,,Paved,0.08495813,,Public Works,W 17TH AVE,N FEDERAL BLVD/W DICK CONNOR AVE,N GROVE ST,COLLECTOR,2,12,30,0, 3000 BLK OF W 17TH AVE,
,SH,,,2,2012,No,,Paved,0.08251011,,Public Works,W DICK CONNOR AVE,MILE HIGH STADIUM WEST CIR,N FEDERAL BLVD/W 17TH AVE,COLLECTOR,3,12,30,0, 2900 BLK OF W DICK CONNOR AVE,
,SH,BL,,2,2012,No,,Paved,0.06496347,,Public Works,W 17TH AVE,N MEADE ST,W LAKESHORE DR/N NEWTON ST,COLLECTOR,2,12,30,0, 3700 BLK OF W 17TH AVE,
,,SUP,,3,,No,,,,,,,,,,,,,,,
,,,,2,,No,,,,,,,,,,,,,,,
,,,,3,,No,,,,,,,,,,,,,,,
,,,,,,No,,,,,,,,,,,,,,,
,,,,1,,No,,,,,,,,,,,,,,,
,,,,1,,No,,,,,,,,,,,,,,,
,SRd,BL,LD,3,,,,,,,,S LOWELL BLVD,COLI/W MOUNTAIN RD,COLI/W DILL RD,COLLECTOR,2,12,25,0, 4400 BLK OF S LOWELL BLVD,
,BL,,,1,2014,No,,Paved,0.00956577,,Public Works,N KNOX CT,W 6TH AVENUE FWY/STR,W 6TH AVENUE FWY/STR,COLLECTOR,2,10,30,0,  600 BLK OF N KNOX CT,
,BL,,,2,2013,No,,Paved,0.01004414,,Public Works,W 44TH AVE,INTERSTATE 25 HOV/STR,INTERSTATE 25/STR,COLLECTOR,2,12,30,0,UNNAMED,
,SRd,BBlvd,C,1,,,,,,,,S IRVING ST,CDS,W MISSISSIPPI AVE,COLLECTOR,2,10,25,0, 1000 BLK OF S IRVING ST,
,SRd,BL,RP2,3,,,,,,,,S LOWELL BLVD,W LINVALE PL,W AMHERST AVE,COLLECTOR,2,10,25,0, 2750 BLK OF S LOWELL BLVD,
,SRd,BL,RP2,2,,,,,,,,S ONEIDA ST,S PONTIAC WAY,E EVANS AVE,LOCAL,2,10,25,0, 2000 BLK OF S ONEIDA ST,
,BL,,,,,,,,0.05889893,,,E HAPPY CANYON RD,S GRAPE ST,S HUDSON ST,COLLECTOR,2,10,30,0,  5200 BLK OF E HAPPY CANYON RD,
,SRd,BufBL,RD,2,,Yes,,Paved,0.02167717,,Public Works,S ULSTER ST,CONNECTING RD,E BELLEVIEW AVE/COLI,ARTERIAL,2,11,35,1, 5050 BLK OF S ULSTER ST,I16
,BL,,NAC,2,,,,,0.07750949,,,N STUART ST,DENVER PARK RD,W 22ND AVE,LOCAL,2,10,25,0, 2100 BLK OF N STUART ST,
,BL,,,,,,,,0.07427587000000001,,,E BUCHTEL BLVD,S HUMBOLDT ST,S FRANKLIN ST,COLLECTOR,2,11,35,1, 1400 BLK OF E BUCHTEL BLVD,
,BL,,,,2011,,,Paved,0.024716560000000002,,Public Works,E EXPOSITION AVE,S GARFIELD ST,S GARFIELD ST,COLLECTOR,2,11,25,0, 3700 BLK OF E EXPOSITION AVE,
,SH,,,Existing,2013,No,,Paved,0.05118354,,Public Works,W COLFAX AVE,5TH ST,N COTTONWOOD ST,LOCAL,2,10,25,0, 1600 BLK OF W COLFAX AVE,
,BufBL,,,Existing,2013,No,,Paved,0.09249618,,Public Works,N IOLA ST,E 28TH PL,E 29TH DR/TRAFFIC SIGNAL,LOCAL,2,10,25,1, 2850 BLK OF N IOLA ST,
,BufBL,,,Existing,2013,No,,Paved,0.12159587000000001,,Public Works,N IOLA ST,N HAVANA ST/E 26TH AVE/COLI,E 28TH AVE,LOCAL,2,10,25,1, 2600 BLK OF N IOLA ST,
,BufBL,,,Existing,2013,No,,Paved,0.05116876,,Public Works,N IOLA ST,E 29TH DR/TRAFFIC SIGNAL,N HAVANA WAY/E MARTIN LUTHER KING JR BLVD/NMCHG/TRAFFIC SIGNAL,LOCAL,2,10,25,1, 2950 BLK OF N IOLA ST,
,BL,,,,,,,,0.041643480000000004,,,E 29TH AVE,N ALTON CT,N BEELER ST,COLLECTOR,2,12,25,1, 9150 BLK OF E 29TH AVE_EB,
,BL,,,,,,,,0.16559241,,,E 23RD AVE,DENVER ZOO RD,CITY PARK RD,ARTERIAL,4,10,35,1, 3300 BLK OF E 23RD AVE,
,BL,,,,,,,,0.06511098,,,E MARTIN LUTHER KING BLVD,N KRAMERIA ST,N LEYDEN ST,ARTERIAL,3,12,35,1, 6200 BLK OF E MLK BLVD_EB,
,PPBL,PPBL,,2,2012,No,,Paved,0.03266535,,Public Works,E PRINCETON AVE,S QUEBEC ST,PRIVATE RD,COLLECTOR,2,10,25,0, 7300 BLK OF E PRINCETON AVE,
,BL,,,,,,,,0.058713720000000004,,,E 7TH AVENUE PKWY,N COOK ST,N MADISON ST,COLLECTOR,2,0,25,2, 3400 BLK OF E 7TH AVENUE PKWY,
,CT,CT,NAC,1,2011,,,Paved,0.11314712,,Public Works,N BANNOCK ST,W 14TH AVENUE PKWY/W 14TH AVE,W COLFAX AVE/14TH ST,COLLECTOR,3,10,25,2, 1400 BLK OF N BANNOCK ST,CT
,BL,,,,,,,,0.09083237,,,GLENARM PL,15TH ST,16TH ST,COLLECTOR,3,10,25,0, 1500 BLK OF GLENARM PL,
