LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,YEAR_RESURF,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Frog Hollow Park,906,South Platte River Trail,None,2,Regional,Concrete,0.23626749,12.0,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,71953,108649
Frog Hollow Park,906,None,None,1,Park Circulation,Concrete,0.00616267,12.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71986,109338
Frog Hollow Park,906,None,None,1,Right of Way Walk,Concrete,0.03132746,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71773,104111
Milstein,911,South Platte River Trail,None,2,Regional,Concrete,0.40020848,None,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,71774,104112
Grant Frontier Park,909,None,None,1,Park Circulation,Concrete,0.23448921,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71881,106448
Grant Frontier Park,909,None,None,1,Park Circulation,Concrete,0.00878182,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71926,107948
Dunham Park,209,None,None,1,Park Circulation,Concrete,0.00949481,6.0,None,City & County of Denver,None,2017,None,None,WLKTRL,WLK-HARD,None,None
Carla Madison Rec Center,250,None,None,1,Park Circulation,Concrete,0.01813884,10.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
Carla Madison Rec Center,250,None,None,1,Park Circulation,Concrete,0.00660445,10.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
Carla Madison Rec Center,250,None,None,1,Park Circulation,Concrete,0.01248726,10.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
Westerly Creek (Lowry),L27,None,None,1,Park Circulation,None,0.01065625,6.0,None,City & County of Denver,None,None,None,None,WLKTRL,TRL-MNR,None,None
Carla Madison Rec Center,250,None,None,1,Right of Way Walk,Concrete,0.00739102,6.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
Carla Madison Rec Center,250,None,None,1,Park Circulation,Concrete,0.01835358,14.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
Carla Madison Rec Center,250,None,None,1,Right of Way Walk,Concrete,0.09367671,8.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-ROW,None,None
Frontier West Park,918,None,None,1,Park Circulation,Concrete,0.01015565,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71927,107949
Frontier West Park,918,South Platte River Trail,None,2,Regional,Concrete,0.19366232,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,71928,107950
Frontier West Park,918,South Platte River Trail,None,2,Regional,Concrete,0.03930023,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,TRL-RGN,71989,109341
Fuller Park,205,None,None,1,Right of Way Walk,Concrete,0.00949512,12.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71956,108652
Fuller Park,205,None,None,1,Right of Way Walk,Concrete,0.03702721,8.0,None,City & County of Denver,None,2011, ,None,WLKTRL,WLK-ROW,71990,109342
Fuller Park,205,None,None,1,Park Circulation,Asphalt,0.00371326,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71822,104908
Fuller Park,205,None,None,1,Park Circulation,Asphalt,0.05350753,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71908,107202
Fuller Park,205,None,None,1,Park Circulation,Stone,0.04752011,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71823,104909
Fuller Park,205,None,None,1,Park Circulation,Asphalt,0.015272,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71777,104115
Fuller Park,205,None,None,1,Park Circulation,Asphalt,0.01577299,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71909,107203
Fuller Park,205,None,None,1,Park Circulation,Asphalt,0.03813022,6.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71991,109343
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.05316871,6.0,None,City & County of Denver,None,2011, ,None,WLKTRL,WLK-HARD,71858,105685
Fuller Park,205,None,None,1,Right of Way Walk,Concrete,0.04162736,8.0,None,City & County of Denver,None,2011, ,None,WLKTRL,WLK-ROW,71882,106449
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.01909022,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71957,108653
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.00273593,16.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71929,107951
Westerly Creek (Lowry),L27,None,None,1,Park Circulation,None,0.03238367,10.0,None,City & County of Denver,None,None,None,None,WLKTRL,None,None,None
New Freedom,L26,None,None,1,Park Circulation,Concrete,0.04940726,6.0,None,City & County of Denver,None,None,None,None,None,None,None,None
Carla Madison Rec Center,250,None,None,1,Right of Way Walk,Concrete,0.0923131,10.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
New Freedom,L26,None,None,1,Park Circulation,Concrete,0.00361514,6.0,None,City & County of Denver,None,None,None,None,None,None,None,None
Carla Madison Rec Center,250,None,None,1,Right of Way Walk,Concrete,0.04861003,6.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
Carla Madison Rec Center,250,None,None,1,Park Circulation,Concrete,0.00618349,6.0,None,City & County of Denver,None,2018,None,None,WLKTRL,WLK-HARD,None,None
New Freedom,L26,None,None,1,Park Circulation,Concrete,0.02198499,5.0,None,City & County of Denver,None,None,None,None,WLKTRL,WLK-HARD,None,None
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.00628497,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71859,105686
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.02740942,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71824,104910
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.00878651,9.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71883,106450
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.00482218,14.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71992,109344
